image_id,label
5873.jpg,5
3338.jpg,5
5668.jpg,5
7968.jpg,5
13240.jpg,5
8038.jpg,5
9687.jpg,5
10237.jpg,5
11544.jpg,5
13973.jpg,5
5396.jpg,5
5628.jpg,5
9106.jpg,5
14535.jpg,5
13127.jpg,5
5449.jpg,5
11106.jpg,5
16824.jpg,5
15782.jpg,5
14866.jpg,5
9079.jpg,5
9376.jpg,5
6549.jpg,5
11556.jpg,5
1885.jpg,5
13397.jpg,5
15800.jpg,5
16402.jpg,5
1121.jpg,5
946.jpg,5
7817.jpg,5
2582.jpg,5
1010.jpg,5
1420.jpg,5
13862.jpg,5
12212.jpg,5
5504.jpg,5
9366.jpg,5
6869.jpg,5
11223.jpg,5
6218.jpg,5
15845.jpg,5
14219.jpg,5
14718.jpg,5
13008.jpg,5
1753.jpg,5
9432.jpg,5
17603.jpg,5
14973.jpg,5
1407.jpg,5
10538.jpg,5
7757.jpg,5
13967.jpg,5
1857.jpg,5
11802.jpg,5
2416.jpg,5
10137.jpg,5
11336.jpg,5
12045.jpg,5
10115.jpg,5
15418.jpg,5
11010.jpg,5
876.jpg,5
11363.jpg,5
17087.jpg,5
11769.jpg,5
16882.jpg,5
13510.jpg,5
16103.jpg,5
9470.jpg,5
